id;titulo;fecha_estreno;descripcion;en_cines
1;Concrete;2023-01-13T16:49:40;copy Wyoming HawaiiX;true
2;Shoes;2023-01-13T05:18:21;KwachaXXXXXXXXXXXXXX;true
3;Health;2023-01-13T12:31:59;RubberXXXXXXXXXXXXXX;true
4;Frozen;2023-01-13T07:50:22;parsing cross-platform;true
5;orchestrate frame;2023-01-13T13:40:52;deposit SausagesXXXX;false
6;analyzing forecast;2023-01-13T12:18:04;Peso DamXXXXXXXXXXXX;true
7;Facilitator;2023-01-12T21:33:12;Brand BerkshireXXXXX;false
8;deposit Electronics Inverse;2023-01-13T14:32:27;GBXXXXXXXXXXXXXXXXXX;false
9;viral Cotton;2023-01-13T02:46:45;CheeseXXXXXXXXXXXXXX;false
10;Keyboard Grocery Branding;2023-01-12T21:11:02;Berkshire Cambridgeshire;false
